predictions,labels,pred_rank,label_rank
6.050644661348383,11.268747,94,1
6.564896507186786,11.120524,51,2
6.435166866758994,10.090374,72,3
6.673023527132646,9.9557905,44,4
6.791470175187105,8.892154,32,5
6.547460208505906,8.553289,55,6
6.819446533800692,8.340304,29,7
6.869643624571758,8.263142,14,8
6.783333317945749,8.219975,34,9
6.832890071269453,8.113412,26,10
7.001919592107611,7.976481,6,11
6.502963064142943,7.92308,61,12
6.673023527132646,7.907875,43,13
6.545927286821946,7.8891706,56,14
6.838509783855543,7.7900767,22,15
6.447604792534866,7.771799,68,16
6.441019402930249,7.727531,71,17
6.400421171190229,7.6973996,81,18
6.783544233143422,7.6235766,33,19
6.441885464183989,7.6112785,70,20
6.850799524213481,7.6064215,19,21
6.6088923037680445,7.4360175,47,22
6.9215111680928105,7.416664,12,23
6.488810397393687,7.38929,65,24
6.119964476659346,7.3778753,92,25
6.869643624571758,7.36428,13,26
6.821955193673577,7.359804,28,27
6.6987082920875345,7.3177285,41,28
5.98045445199855,7.251479,95,29
6.327454119622759,7.2419014,86,30
5.731944662436494,7.1815696,102,31
6.174751909161832,7.160678,91,32
6.452024539559246,7.097006,67,33
6.9215111680928105,7.0943203,11,34
6.416972256038844,7.0572505,77,35
6.358923275726268,7.0417895,84,36
6.0834454035185574,6.963378,93,37
6.762259771430104,6.875932,37,38
6.782433463325491,6.8327026,35,39
6.847509830287067,6.789137,20,40
5.718327223363469,6.7603626,104,41
6.947025993825476,6.7295303,7,42
6.945463855304488,6.717437,9,43
6.834403176192996,6.6990876,25,44
6.4054239720892845,6.6854663,80,45
6.295677937881779,6.664576,87,46
6.830276501802175,6.617749,27,47
3.898959212252627,6.572714,120,48
6.855148179218834,6.541991,17,49
5.795352456215717,6.5363274,101,50
5.720734599376102,6.4991817,103,51
5.693665093927637,6.4519854,105,52
6.574786983220836,6.41904,50,53
6.495804410521801,6.3994055,63,54
7.3441533899677225,6.377162,2,55
6.584065445142289,6.3591332,48,56
6.838509783855543,6.3516755,23,57
5.8793712119261645,6.3033786,97,58
6.44752446297212,6.262855,69,59
6.584065445142289,6.1239896,49,60
6.945463855304488,6.089948,10,61
6.947025993825476,5.9214735,8,62
6.488810397393687,5.864108,64,63
6.625862790925773,5.7493615,45,64
6.434785928117072,5.5689354,73,65
6.2574253345958315,5.5285807,88,66
6.509116872162057,5.4796433,59,67
6.544657950132104,5.434743,58,68
5.581157815060989,5.432222,107,69
7.3426456702845835,5.376431,3,70
6.71561735521592,5.3329725,40,71
6.613890468516914,5.329503,46,72
7.3019951013850735,5.2662582,4,73
7.245573462740705,5.2479277,5,74
6.415718833671848,5.0350194,78,75
6.197598508960976,5.0290976,89,76
6.86704344638251,5.004352,15,77
6.188826695523292,4.954033,90,78
6.4299841234503905,4.9189544,74,79
6.415718833671848,4.8648005,79,80
6.380507826679662,4.8458643,83,81
5.93927189152101,4.8243365,96,82
5.838728568439149,4.292293,99,83
5.849019049339202,4.269181,98,84
6.457055701667353,3.9305768,66,85
6.851216773167806,3.9286382,18,86
6.544657950132104,3.8686874,57,87
6.770387086709853,3.750428,36,88
6.754252012373732,3.642534,38,89
6.328330217796383,3.4847383,85,90
6.813501065841358,3.4174752,30,91
6.845404076579763,3.203168,21,92
7.355891070676598,3.1441972,1,93
6.3847304960967275,2.8791792,82,94
5.647606185156954,2.7919426,106,95
5.494561057763743,2.7097285,108,96
5.801141274547055,2.6363478,100,97
6.857684348272585,1.94087,16,98
6.563306880241461,1.9017421,52,99
4.160499385716223,1.4793254,113,100
6.562140423670155,1.3516238,53,101
4.1540254683791975,1.3292322,114,102
4.683775737785822,1.3292322,109,103
6.424660571565798,1.2929971,75,104
6.807775197851976,1.2073687,31,105
4.079784860246397,1.1600939,115,106
3.9003772605553393,1.1154772,119,107
6.675040645597644,0.9905066,42,108
4.025771426058625,0.98972505,116,109
6.725854461904168,0.9490294,39,110
6.499035292999035,0.7892402,62,111
6.836594013233512,0.7089853,24,112
4.268961869904481,0.42849332,111,113
6.508341246496403,0.42756698,60,114
4.22632486963499,0.36286336,112,115
6.550637713054085,0.23057641,54,116
6.424511620921997,0.22239242,76,117
4.373328016525168,0.11191852,110,118
3.9402052873362976,0.11191852,118,119
3.9675974275253347,-0.85495305,117,120
